id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
39300408,6d93a6e6-328f-45d1-aed5-774c63054e11,2020/02/24 4:35 PM -0300,2020-02-24,2020-02-24 19:35:00 UTC,Buenos Aires,142253,carancho,Leonel Roget,2020-02-28 01:43:44 UTC,2020-02-28 16:17:18 UTC,research,CC-BY,https://www.inaturalist.org/observations/39300408,https://inaturalist-open-data.s3.amazonaws.com/photos/62332722/medium.jpeg,,"","",2,0,false,,"Isla Verde, Victoria, Entre Ríos, Argentina",-32.8772006627,-60.6736733612,390,,,,390,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
39300418,d3f528a4-b86f-4fdc-9364-3d679315ca75,2020/02/24 4:58 PM -0300,2020-02-24,2020-02-24 19:58:00 UTC,Buenos Aires,142253,carancho,Leonel Roget,2020-02-28 01:43:52 UTC,2022-04-12 04:44:41 UTC,research,CC-BY,https://www.inaturalist.org/observations/39300418,https://inaturalist-open-data.s3.amazonaws.com/photos/62332876/medium.jpeg,,"","",1,0,false,,"Isla Verde, Victoria, Entre Ríos, Argentina",-32.8772006627,-60.6736733612,390,,,,390,,,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
39348805,71c26602-690f-4720-84e5-6fb207e61240,2020/02/05 2:31 PM -0300,2020-02-05,2020-02-05 17:31:00 UTC,Buenos Aires,1182839,giramone,Guille Ivan Spajic,2020-02-29 11:56:38 UTC,2020-03-12 22:03:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39348805,https://inaturalist-open-data.s3.amazonaws.com/photos/62414271/medium.jpeg,,"",,3,0,false,,"Ramallo, Buenos Aires, Argentina",-33.4457847213,-60.0552174355,320,,,,320,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
39495177,63b71b52-d004-4032-b3f1-39aca9286516,2020/02/25 5:55 PM -0300,2020-02-25,2020-02-25 20:55:00 UTC,Buenos Aires,1634400,fernando-i,Fernando Iglesias,2020-03-03 17:00:31 UTC,2020-03-07 15:55:34 UTC,research,,https://www.inaturalist.org/observations/39495177,https://static.inaturalist.org/photos/62668353/medium.jpeg,,"",,3,0,false,,"La Lucila, Buenos Aires, Argentina",-34.4924784533,-58.479761284,105,,,,105,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
39589147,75c91bad-e10b-4996-99fd-8acd8dc403b4,2020/01/16 9:53 AM MST,2020-01-16,2020-01-16 16:53:00 UTC,Arizona,5158,lifespulse,Jake Mohlmann,2020-03-05 23:06:47 UTC,2020-03-22 19:14:21 UTC,research,CC-BY,https://www.inaturalist.org/observations/39589147,https://static.inaturalist.org/photos/62821966/medium.jpg,,"",,1,0,false,,"Estr. Transpantaneira, Km 25, Poconé - MT, 78175-000, Brazil",-16.4838969,-56.6943079,205,,,,205,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
41417662,8a04cfc9-e326-4c2a-9acf-de52b402dcea,2020-02-14 11:19:00 AM GMT-03:00,2020-02-14,2020-02-14 14:19:00 UTC,Brasilia,1521396,pmantinian1951,Patricio A. Mantinian,2020-04-05 03:18:40 UTC,2020-04-05 13:14:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41417662,https://inaturalist-open-data.s3.amazonaws.com/photos/65703857/medium.jpg,,"",,3,0,false,2,"Candelaria, Misiones, Argentina",-27.3851108734,-55.5929650739,27,,,,27,,open,false,gps,gps,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
41650057,148c0221-cb41-4c34-bff7-101cb44444d6,2020-01-08 10:50:41 AM GMT-04:00,2020-01-08,2020-01-08 14:50:41 UTC,Atlantic Time (Canada),1471399,cesarpizarrorios,Cesar Augusto Pizarro Rios,2020-04-07 23:30:30 UTC,2022-06-18 03:16:49 UTC,research,,https://www.inaturalist.org/observations/41650057,https://static.inaturalist.org/photos/66074132/medium.jpeg,,"",,4,0,false,2,"Gran Chaco, BO-TR, BO",-21.2659702544,-63.4728606418,33,,,,33,,open,false,gps,gps,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
42241942,a078f2aa-f77f-49a5-90ac-a634991fe487,2015/01/02 6:17 PM -0300,2015-01-02,2015-01-02 21:17:00 UTC,Buenos Aires,1120285,xolmis-irupero,María Fernanda Alarcón,2020-04-15 16:10:32 UTC,2020-04-15 16:35:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/42241942,https://inaturalist-open-data.s3.amazonaws.com/photos/67061753/medium.jpeg,,"","",2,0,false,,"San Fernando, Chaco, Argentina",-27.4106944937,-58.940936728,61,,,,61,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
45031774,2ef73916-dbee-4fe3-8456-3c58d6b74862,2012/02/27 3:21 AM HST,2012-02-27,2012-02-27 13:21:00 UTC,Hawaii,2785405,nicov1,Nicolás Villanucci,2020-05-06 00:38:11 UTC,2023-07-07 20:13:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/45031774,https://inaturalist-open-data.s3.amazonaws.com/photos/71393578/medium.jpeg,,"",,2,0,false,,"Islas del Ibicuy, Entre Ríos, Argentina",-33.6985826575,-58.7097652013,488,,,,488,,open,false,,,Saltador Gris,Saltator coerulescens,Saltador Gris,Aves,9850
46113602,51eb3481-4a38-496c-990b-6ea7a7fc017c,2020/01/18 10:26 AM CET,2020-01-18,2020-01-18 09:26:00 UTC,Paris,645653,thibaudaronson,Thibaud Aronson,2020-05-16 17:49:24 UTC,2020-05-16 17:55:55 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/46113602,https://inaturalist-open-data.s3.amazonaws.com/photos/73127816/medium.jpg,,"",,1,0,false,,"Laguna El Oconal, Villa Rica",-10.7535446821,-75.2721847148,511,,,,511,,open,false,,,Grayish Saltator,Saltator coerulescens,Saltador Gris,Aves,9850
